Title,Video_link,Views,Date_time,Thumbnail
Make your Resume Strong with these DSA Projects | Best DSA Projects for your Resume | GeeksforGeeks,/watch?v=NjUteXHoOXk,1.2K views,22 hours ago,https://i.ytimg.com/vi/NjUteXHoOXk/hqdefault.jpg
Top TECH TRENDS & CAREERS in 2024!!! GeeksforGeeks,/watch?v=FAluaVzy4VM,711 views,5 days ago,https://i.ytimg.com/vi/NjUteXHoOXk/hqdefault.jpg
GeeksforGeeks Bloopers!! The Making of Quality Content,/watch?v=zakV-wfdPYM,562 views,6 days ago,https://i.ytimg.com/vi/NjUteXHoOXk/hqdefault.jpg
APTITUDE & REASONING | GATE 2024 Ultimate Revision | PYQ and Sample Questions GATE,/watch?v=CaAjf_RE9ew,1.2K views,7 days ago,https://i.ytimg.com/vi/NjUteXHoOXk/hqdefault.jpg
Meet The Youngest CTO Of India! | GeeksforGeeks,/watch?v=5YlR3yZV9bE,3.3K views,12 days ago,https://i.ytimg.com/vi/NjUteXHoOXk/hqdefault.jpg
Top 3 Things College Students FEAR!!,/watch?v=mOkFtGLA9q8,45K views,2 weeks ago,https://i.ytimg.com/vi/NjUteXHoOXk/hqdefault.jpg
DATA SCIENCE PROJECTS Made Easy with COLAB AI | Generative AI | GeeksforGeeks,/watch?v=Gt5ZkoFrgyE,828 views,2 weeks ago,https://i.ytimg.com/vi/NjUteXHoOXk/hqdefault.jpg
Top VS Code EXTENSIONS and SHORTCUTS to Code Faster! GeeksforGeeks,/watch?v=l-LJucxS8Mc,950 views,3 weeks ago,https://i.ytimg.com/vi/NjUteXHoOXk/hqdefault.jpg
LINKED LIST PRACTICE QUESTIONS | Operations on Linked List | DSA Problems | GeeksforGeeks,/watch?v=TnV34Lfdk7k,1K views,3 weeks ago,https://i.ytimg.com/vi/NjUteXHoOXk/hqdefault.jpg
Three 90 Challenge - Q&A with Sandeep Jain Sir | GeeksforGeeks #commitwithgfg,/watch?v=KyUbJ4aoIgQ,3.1K views,4 weeks ago,https://i.ytimg.com/vi/NjUteXHoOXk/hqdefault.jpg
"Secrets to CONSISTENCY, COMMITMENT, and CAREER SUCCESS! #commitwithgfg",/watch?v=6jhkJoOnMCc,2K views,1 month ago,https://i.ytimg.com/vi/NjUteXHoOXk/hqdefault.jpg
2024 Will be the YEAR for CODERS!! #commitwithgfg,/watch?v=Nozck3wIMCo,1.3K views,1 month ago,https://i.ytimg.com/vi/NjUteXHoOXk/hqdefault.jpg
WHAT IS LINKED LIST? | Linked List Data Structures | DSA Course | GeeksforGeeks,/watch?v=MCG7S2fGUeU,1.2K views,1 month ago,https://i.ytimg.com/vi/NjUteXHoOXk/hqdefault.jpg
Three 90 Challenge !! Transform your 2024 with GeeksforGeeks #commitwithgfg,/watch?v=Vtxq-yHdKpA,10K views,1 month ago,https://i.ytimg.com/vi/NjUteXHoOXk/hqdefault.jpg
10 Best PROGRAMMING LANGUAGES to Learn in 2024 | GeeksforGeeks,/watch?v=ehXa1Hxxu3Y,2.5K views,1 month ago,https://i.ytimg.com/vi/NjUteXHoOXk/hqdefault.jpg
5 BEST GITHUB REPOSITORIES Every DEVELOPER Must Know! | GeeksforGeeks,/watch?v=xvUopUeVS0U,1.6K views,1 month ago,https://i.ytimg.com/vi/NjUteXHoOXk/hqdefault.jpg
Ready to #commitwithgfg ?,/watch?v=lbveOrbHgto,27K views,1 month ago,https://i.ytimg.com/vi/NjUteXHoOXk/hqdefault.jpg
How to Use GOOGLE COLAB | Google Colab Tutorials for Beginners | GeeksforGeeks,/watch?v=TqqkZLHoY0o,1.1K views,1 month ago,https://i.ytimg.com/vi/NjUteXHoOXk/hqdefault.jpg
Journey from an SDE at PAYTM to MICROSOFT | Software Developer Experience | GeeksforGeeks,/watch?v=0mRyTDhxe_s,1.4K views,1 month ago,https://i.ytimg.com/vi/NjUteXHoOXk/hqdefault.jpg
What is DEVOPS and DEPLOYMENT? | Importance and Role of DevOps in Web Development | GeeksforGeeks,/watch?v=NoxexEfck3g,696 views,1 month ago,https://i.ytimg.com/vi/NjUteXHoOXk/hqdefault.jpg
GeeksforGeeks In a Review 2023 | GfG Rewind 2023,/watch?v=q_kEa8oBo2A,2.1K views,1 month ago,https://i.ytimg.com/vi/NjUteXHoOXk/hqdefault.jpg
How to Implement PICTURE IN PICTURE (PIP) MODE in Flutter Apps | Flutter Projects | GeeksforGeeks,/watch?v=eBEdJCsqusI,660 views,1 month ago,https://i.ytimg.com/vi/NjUteXHoOXk/hqdefault.jpg
How to Integrate RAZORPAY PAYMENT GATEWAY in your Flutter App | Flutter Projects | GeeksforGeeks,/watch?v=1XFGgHunNrk,2.2K views,1 month ago,https://i.ytimg.com/vi/NjUteXHoOXk/hqdefault.jpg
Career in DATA ANALYTICS | Insights from a DATA ANALYST at AMERICAN EXPRESS | GeeksforGeeks,/watch?v=1zHWzyI7TC0,1.4K views,1 month ago,https://i.ytimg.com/vi/NjUteXHoOXk/hqdefault.jpg
All About WEB SECURITY | Web Security for Full Stack Developers | GeeksforGeeks,/watch?v=578Pzg7tVF4,837 views,1 month ago,https://i.ytimg.com/vi/NjUteXHoOXk/hqdefault.jpg
What is VERSION CONTROL and GIT? Web Development Explained | GeeksforGeeks,/watch?v=jxbGBOo4GDs,726 views,2 months ago,https://i.ytimg.com/vi/NjUteXHoOXk/hqdefault.jpg
Build Your Own GUI CALENDAR with Tkinter in Python | Python Projects | GeeksforGeeks,/watch?v=W2S8NnlJtgk,782 views,2 months ago,https://i.ytimg.com/vi/NjUteXHoOXk/hqdefault.jpg
Implementing Simple and Custom ALERT DIALOG BOX in Flutter Apps | Flutter Projects | GeeksforGeeks,/watch?v=b6iw6dLQ7AU,598 views,2 months ago,https://i.ytimg.com/vi/NjUteXHoOXk/hqdefault.jpg
How to EXTRACT AUDIO from VIDEO using Python | Python Projects | GeeksforGeeks,/watch?v=SrPi0FrmGiE,987 views,2 months ago,https://i.ytimg.com/vi/NjUteXHoOXk/hqdefault.jpg
How to Create LANGUAGE TRANSLATOR Application in Flutter | Flutter Projects | GeeksforGeeks,/watch?v=CeupjFXlFiQ,1.3K views,2 months ago,https://i.ytimg.com/vi/NjUteXHoOXk/hqdefault.jpg
🍷 WINE QUALITY PREDICTION using RANDOM FOREST Algorithm | Machine Learning Projects | GeeksforGeeks,/watch?v=MyllYgc-kh8,873 views,2 months ago,https://i.ytimg.com/vi/NjUteXHoOXk/hqdefault.jpg
Create a QR CODE SCANNER and GENERATOR Application using Flutter | Flutter Projects | GeeksforGeeks,/watch?v=hm5JfFhiXL8,5.3K views,2 months ago,https://i.ytimg.com/vi/NjUteXHoOXk/hqdefault.jpg
Create AI DESKTOP VIRTUAL ASSISTANT using Python and Tkinter | Python Projects | GeeksforGeeks,/watch?v=tZl1_AcC7Dw,2.5K views,2 months ago,https://i.ytimg.com/vi/NjUteXHoOXk/hqdefault.jpg
Graph Practice Problems | Graph Data Structure | DSA Course | GeeksforGeeks,/watch?v=pCmsQVHYXK0,1.3K views,2 months ago,https://i.ytimg.com/vi/NjUteXHoOXk/hqdefault.jpg
Face Detection using Python and OpenCV with webcam | Python Projects | GeeksforGeeks,/watch?v=129exLkKeks,1.6K views,2 months ago,https://i.ytimg.com/vi/NjUteXHoOXk/hqdefault.jpg
Plagiarism Detection using Python | Python Projects | GeeksforGeeks,/watch?v=QFQItyHsxZY,1.3K views,2 months ago,https://i.ytimg.com/vi/NjUteXHoOXk/hqdefault.jpg
Weapon Detection Using Python-OpenCV | Python Projects | GeeksforGeeks,/watch?v=xlcNMlyN34g,3.3K views,2 months ago,https://i.ytimg.com/vi/NjUteXHoOXk/hqdefault.jpg
TITANIC SURVIVAL PREDICTION using TensorFlow | Machine Learning Projects | GeeksforGeeks,/watch?v=cRYSIR6LaNQ,1K views,2 months ago,https://i.ytimg.com/vi/NjUteXHoOXk/hqdefault.jpg
What is BACKEND DEVELOPMENT? | Explained in 60 seconds | Full Stack Concepts | GeeksforGeeks,/watch?v=C2u6_wOYlPc,1.2K views,2 months ago,https://i.ytimg.com/vi/NjUteXHoOXk/hqdefault.jpg
STOCK PRICE PREDICTION using Machine Learning📈 | Machine Learning Projects | GeeksforGeeks,/watch?v=tn07dCSFOfQ,11K views,2 months ago,https://i.ytimg.com/vi/NjUteXHoOXk/hqdefault.jpg
What is FRONTEND DEVELOPMENT? | Explained in 60 seconds | Full Stack Concepts | GeeksforGeeks,/watch?v=IiM10iV_Zug,967 views,2 months ago,https://i.ytimg.com/vi/NjUteXHoOXk/hqdefault.jpg
Air Quality Index Prediction in Python | Machine Learning Projects | GeeksforGeeks,/watch?v=0myaZxl4XWw,3.3K views,2 months ago,https://i.ytimg.com/vi/NjUteXHoOXk/hqdefault.jpg
TWITTER SENTIMENT ANALYSIS (NLP) | Machine Learning Projects | GeeksforGeeks,/watch?v=4YGkfAd2iXM,16K views,2 months ago,https://i.ytimg.com/vi/NjUteXHoOXk/hqdefault.jpg
Diabetes Prediction in Machine Learning using Python | Machine Learning Projects | GeeksforGeeks,/watch?v=AxYgzie4x2E,3.6K views,2 months ago,https://i.ytimg.com/vi/NjUteXHoOXk/hqdefault.jpg
Stack Practice Question | Parenthesis Checker | Learn DSA Concepts | GeeksforGeeks,/watch?v=2ay2GCrmf9E,786 views,2 months ago,https://i.ytimg.com/vi/NjUteXHoOXk/hqdefault.jpg
"Build a Stopwatch using HTML, CSS, and JS | GeeksforGeeks",/watch?v=DR5tJWig0AQ,867 views,2 months ago,https://i.ytimg.com/vi/NjUteXHoOXk/hqdefault.jpg
WHAT IS STACK? | Stack Data Structures | DSA Course | GeeksforGeeks,/watch?v=lhhyE7NVcbg,1.2K views,3 months ago,https://i.ytimg.com/vi/NjUteXHoOXk/hqdefault.jpg
Meet A Data Scientist with 5 Years+ Experience | Ft.Tavishi Jaglan | GeeksforGeeks,/watch?v=4_u-xcfqpcA,1.6K views,3 months ago,https://i.ytimg.com/vi/NjUteXHoOXk/hqdefault.jpg
Master Data Science Concepts: Apache Kafka in 60 Seconds | Data Science Crash Course | GeeksforGeeks,/watch?v=Li0wAG3hORQ,949 views,3 months ago,https://i.ytimg.com/vi/NjUteXHoOXk/hqdefault.jpg
Master Data Science Concepts: Apache Flume in 60 Seconds | Data Science Crash Course | GeeksforGeeks,/watch?v=bdjQI-OBGk8,720 views,3 months ago,https://i.ytimg.com/vi/NjUteXHoOXk/hqdefault.jpg
Master Data Science Concepts: Data Bricks in 60 Seconds | Data Science Crash Course | GeeksforGeeks,/watch?v=d1Pn06Rc9QE,903 views,3 months ago,https://i.ytimg.com/vi/NjUteXHoOXk/hqdefault.jpg
Master Data Science Concepts: Apache Beam in 60 Seconds | Data Science Crash Course | GeeksforGeeks,/watch?v=PjSA0Ru7_rI,921 views,3 months ago,https://i.ytimg.com/vi/NjUteXHoOXk/hqdefault.jpg
Master Data Science Concepts: Data Lake in 60 Seconds | Data Science Crash Course | GeeksforGeeks,/watch?v=KGD-T3bhFEA,1.3K views,3 months ago,https://i.ytimg.com/vi/NjUteXHoOXk/hqdefault.jpg
Choosing the Right Cloud Provider | AWS vs Azure vs GCP | GeeksforGeeks,/watch?v=YbPnhezNaUE,2.7K views,3 months ago,https://i.ytimg.com/vi/NjUteXHoOXk/hqdefault.jpg
A Journey from NOKIA to PAYPAL | Ft. Palak Awasthi | GeeksforGeeks,/watch?v=6UUTPA0l748,3K views,3 months ago,https://i.ytimg.com/vi/NjUteXHoOXk/hqdefault.jpg
Make Best Team For ICC Cricket World 2023 | Practice Problem | GeeksforGeeks,/watch?v=ItY3minkI3o,449 views,3 months ago,https://i.ytimg.com/vi/NjUteXHoOXk/hqdefault.jpg
Interview Strategies for Freshers | GeeksforGeeks,/watch?v=tmg6d3T_T6Q,5.4K views,3 months ago,https://i.ytimg.com/vi/NjUteXHoOXk/hqdefault.jpg
🏆 GeeksforGeeks Hack-A-Thon: World-cup-Wizard Edition 🌟,/watch?v=2mW7tclj6mc,363 views,3 months ago,https://i.ytimg.com/vi/NjUteXHoOXk/hqdefault.jpg
Ace your DevOps interview | GeeksforGeeks,/watch?v=I-J28pjrTc8,68K views,3 months ago,https://i.ytimg.com/vi/NjUteXHoOXk/hqdefault.jpg
How to Get Free Google Cloud Qwiklabs Credits | Google Cloud Bootcamp | GeeksforGeeks,/watch?v=lf-eQH28eAw,7K views,4 months ago,https://i.ytimg.com/vi/NjUteXHoOXk/hqdefault.jpg
"GeeksforGeeks Community – Connect, Ask, Learn & Grow with Tech Geeks",/watch?v=dMX0Bel8V94,826 views,4 months ago,https://i.ytimg.com/vi/NjUteXHoOXk/hqdefault.jpg
Become a SDET Expert with GeeksforGeeks,/watch?v=PLxzWN08w54,53K views,4 months ago,https://i.ytimg.com/vi/NjUteXHoOXk/hqdefault.jpg
Geeks Premier League 2023 | India's Biggest Content Writing Event | GeeksforGeeks,/watch?v=e0DLnBRZRj0,1.8K views,4 months ago,https://i.ytimg.com/vi/NjUteXHoOXk/hqdefault.jpg
Happy Engineer's Day To You All!,/watch?v=g4M-zfzsqBg,2.1K views,4 months ago,https://i.ytimg.com/vi/NjUteXHoOXk/hqdefault.jpg
Decoding the Modern Job Landscape | An HR Perspective | GeeksforGeeks,/watch?v=w3ucO_5NHCU,744 views,4 months ago,https://i.ytimg.com/vi/NjUteXHoOXk/hqdefault.jpg
Unlock GATE 2024 | GeeksforGeeks,/watch?v=4TVPoMDU0Ts,22K views,4 months ago,https://i.ytimg.com/vi/NjUteXHoOXk/hqdefault.jpg
We Stole This For You,/watch?v=eVV0MO_IBnw,7.2K views,5 months ago,https://i.ytimg.com/vi/NjUteXHoOXk/hqdefault.jpg
Career Advancement Test For EWS & PWD Candidates | Student Grant of INR 10 Lakh | GeeksforGeeks,/watch?v=DpCJ74xg93E,6.1K views,5 months ago,https://i.ytimg.com/vi/NjUteXHoOXk/hqdefault.jpg
GfG Mobile App | Android & iOS | Download for Free,/watch?v=Rsh8xd3aIqw,2.2K views,5 months ago,https://i.ytimg.com/vi/NjUteXHoOXk/hqdefault.jpg
🔒 Securing Your Data in the Cloud: GCP's Top SECURITY Features | GeesforGeeks,/watch?v=rwLBsyQ4rO8,444 views,5 months ago,https://i.ytimg.com/vi/NjUteXHoOXk/hqdefault.jpg
GATE CSE Offline Classes | GATE 2024 Crash Course | Delhi NCR | GeeksforGeeks,/watch?v=a9xiYYqbaHg,18K views,5 months ago,https://i.ytimg.com/vi/NjUteXHoOXk/hqdefault.jpg
How to Build a To-Do Application in Flutter | GeeksforGeeks,/watch?v=fNuURHd7POk,944 views,5 months ago,https://i.ytimg.com/vi/NjUteXHoOXk/hqdefault.jpg
How to Use Google Sign-in With Firebase in Flutter | GeeksforGeeks,/watch?v=MRb_2Kg0nRI,6.7K views,5 months ago,https://i.ytimg.com/vi/NjUteXHoOXk/hqdefault.jpg
Machine Learning on GCP | Harnessing the Power of AI | GeeksforGeeks,/watch?v=KSTX28pUSeI,538 views,5 months ago,https://i.ytimg.com/vi/NjUteXHoOXk/hqdefault.jpg
GRAPH Data Structure | What is Graph? | DSA Course | GeeksforGeeks,/watch?v=gTsoyORhqkg,3.1K views,5 months ago,https://i.ytimg.com/vi/NjUteXHoOXk/hqdefault.jpg
Handling Missing Values | Machine Learning | GeeksforGeeks,/watch?v=yFJ2_phRslY,767 views,5 months ago,https://i.ytimg.com/vi/NjUteXHoOXk/hqdefault.jpg
Security Risks of Cloud Computing | GeeksforGeeks,/watch?v=6lxKkdyvS6M,1.3K views,5 months ago,https://i.ytimg.com/vi/NjUteXHoOXk/hqdefault.jpg
DSA Classroom Program with Placement Assistance | Now in Noida & Gurugram | GeeksforGeeks,/watch?v=ACZoeLwm_fE,131K views,5 months ago,https://i.ytimg.com/vi/NjUteXHoOXk/hqdefault.jpg
Free Cloud Bootcamp Sponsored by Google for Developers | GeeksforGeeks,/watch?v=uXpOqQEw7Pc,2.3K views,6 months ago,https://i.ytimg.com/vi/NjUteXHoOXk/hqdefault.jpg
All Your Queries Answered | DSA to Development Program | GeeksforGeeks,/watch?v=kHBzDvj3D2U,1.8K views,6 months ago,https://i.ytimg.com/vi/NjUteXHoOXk/hqdefault.jpg
10 TIPS and TRICKS to Crack Internships and Placements | GeeksforGeeks,/watch?v=2QDMIZGeIC4,876 views,6 months ago,https://i.ytimg.com/vi/NjUteXHoOXk/hqdefault.jpg
Complete School Guide for CBSE | Free Resources For School Students | GeeksforGeeks,/watch?v=1ECMlxC6jbs,637 views,6 months ago,https://i.ytimg.com/vi/NjUteXHoOXk/hqdefault.jpg
Master System Design | GeeksforGeeks,/watch?v=vjWLZYeqiN8,86K views,6 months ago,https://i.ytimg.com/vi/NjUteXHoOXk/hqdefault.jpg
"Unraveling the Geek-a-thon: The What, How, and Why | Geek-A-Thon | GeeksforGeeks",/watch?v=6e0v_NhsFMQ,554 views,6 months ago,https://i.ytimg.com/vi/NjUteXHoOXk/hqdefault.jpg
Data Analysis Masterclass | Geek-A-Thon | GeeksforGeeks,/watch?v=-7Emxpn8DXc,839 views,6 months ago,https://i.ytimg.com/vi/NjUteXHoOXk/hqdefault.jpg
GeeksforGeeks Offline Classroom Program | Now Open In Noida & Gurgaon,/watch?v=2bPiFkt3Nmg,42K views,6 months ago,https://i.ytimg.com/vi/NjUteXHoOXk/hqdefault.jpg
Kickstart your DevOps Career | GeeksforGeeks,/watch?v=8gwwlpBwr_s,112K views,6 months ago,https://i.ytimg.com/vi/NjUteXHoOXk/hqdefault.jpg
First Ever KBC at our Offline Classes | GeeksforGeeks,/watch?v=chYg2EAKW2A,717 views,6 months ago,https://i.ytimg.com/vi/NjUteXHoOXk/hqdefault.jpg
Mega Job-a-thon for Working Professionals | 21st July | GeeksforGeeks,/watch?v=CyOh-WDfUvs,1.2K views,6 months ago,https://i.ytimg.com/vi/NjUteXHoOXk/hqdefault.jpg
Explore GeeksforGeeks Hiring Solutions | For Top Tech Companies | Innovative Hiring Solutions,/watch?v=GDeoPHRqb5w,638 views,7 months ago,https://i.ytimg.com/vi/NjUteXHoOXk/hqdefault.jpg
Geek-O-Lympics 2023 | GeeksforGeeks,/watch?v=hLqJiIu6LzY,3.4K views,7 months ago,https://i.ytimg.com/vi/NjUteXHoOXk/hqdefault.jpg
Web 3.0 Explained | GeeksforGeeks,/watch?v=zEPRJMk3p90,2K views,7 months ago,https://i.ytimg.com/vi/NjUteXHoOXk/hqdefault.jpg
